page,para_num,text,pdf_name,text_synthetic,,
2,3,"Introduction Calls for valid (accurate), and reliable (consistent) meth - ods for assessing creativity can be traced back to  Guilford’s (1950 ) presidential address to the members of  the American Psychological Association (APA). This call  is accentuated in the introduction to the 2019 special issue  of Philosophy, Esthetics, Creativity and the Arts,  “Creativity Assessment: pitfalls, solutions and standards,”  where the editors assert: “Without proper instruments to  measure creativity or adequate standards of assessment,  the validity of any creativity study is seriously questioned”  (Barbot & Reiter-Palmon, 2019 ). ",Rafner et al. - 2022 - Digital Games for Creativity Assessment Strengths,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction: Use the following pieces of context to answer the users question.

Text: Introduction Calls for valid (accurate), and reliable (consistent) meth - ods for assessing creativity can be traced back to  Guilford’s (1950 ) presidential address to the members of  the American Psychological Association (APA). This call  is accentuated in the introduction to the 2019 special issue  of Philosophy, Esthetics, Creativity and the Arts,  “Creativity Assessment: pitfalls, solutions and standards,”  where the editors assert: “Without proper instruments to  measure creativity or adequate standards of assessment,  the validity of any creativity study is seriously questioned”  (Barbot & Reiter-Palmon, 2019 ). 
### Input: What is the importance of valid and reliable methods for assessing creativity as emphasized by Guilford and the editors of the 2019 special issue of Philosophy, Esthetics, Creativity and the Arts?
### Response: The importance of valid and reliable methods for assessing creativity, as emphasized by Guilford and the editors of the 2019 special issue of Philosophy, Esthetics, Creativity and the Arts, is that without proper instruments to measure creativity or adequate standards of assessment, the validity of any creativity study is seriously questioned. This means that the results of a study may not be trustworthy or accurate if the methods used to assess creativity are not valid and reliable.

",,
2,4,"Recently, organizations  such as the OECD (Schleicher, n.d) and the World  Economic Forum (Belsky, 2020 ; Grey, 2016 ; Future of  Jobs Report, 2020 ) underscored the importance of 21st  century skills like creativity for meeting the requirements  of an increasingly globalized and digitized world. Calls  from these major public institutions triggered an immi - nent need for large-scale assessments and training of these  skills, both in corporate and educational sectors. As  a student, worker or work-seeker, employer, or govern - mental agency, the assessment of one’s own skill or those  of others is paramount for upward mobility and appro - priate job placement (Indeed Editorial Team, 2021 ; Stuart, 2009 ; Zojceska, 2019 ). Thus, ensuring the accessibility of  assessment mechanisms, such as through freely available  online platforms, for creativity and other 21st century  skills, becomes crucial for an equitable society. That  being said, it can be futile or even harmful to scale-up  and provide easy access to invalid or unreliable assess - ment instruments as is the case with the burgeoning  number of apps that promise to evaluate creativity yet  lack a solid theoretical foundation. ",Rafner et al. - 2022 - Digital Games for Creativity Assessment Strengths,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction: Use the following pieces of context to answer the users question.

Text: Recently, organizations  such as the OECD (Schleicher, n.d) and the World  Economic Forum (Belsky, 2020 ; Grey, 2016 ; Future of  Jobs Report, 2020 ) underscored the importance of 21st  century skills like creativity for meeting the requirements  of an increasingly globalized and digitized world. Calls  from these major public institutions triggered an immi - nent need for large-scale assessments and training of these  skills, both in corporate and educational sectors. As  a student, worker or work-seeker, employer, or govern - mental agency, the assessment of one’s own skill or those  of others is paramount for upward mobility and appro - priate job placement (Indeed Editorial Team, 2021 ; Stuart, 2009 ; Zojceska, 2019 ). Thus, ensuring the accessibility of  assessment mechanisms, such as through freely available  online platforms, for creativity and other 21st century  skills, becomes crucial for an equitable society. That  being said, it can be futile or even harmful to scale-up  and provide easy access to invalid or unreliable assess - ment instruments as is the case with the burgeoning  number of apps that promise to evaluate creativity yet  lack a solid theoretical foundation. 
### Input: What is the importance of valid and reliable assessment mechanisms for creativity and other 21st century skills in ensuring an equitable society?
### Response: The text suggests that valid and reliable assessment mechanisms for creativity and other 21st century skills are important in ensuring an equitable society because they are paramount for upward mobility and appropriate job placement. These assessments allow individuals, whether they are students, workers, employers, or governmental agencies, to understand their own skills or those of others. This understanding can then be used to ensure that individuals are placed in roles that suit their skills, promoting fairness and equality. Furthermore, the accessibility of these assessment mechanisms, such as through freely available online platforms, is crucial in ensuring that everyone, regardless of their circumstances, has the opportunity to assess and improve their skills. However, the text warns that it can be harmful to scale-up and provide easy access to invalid or unreliable assessment instruments, as they may provide inaccurate results and lead to inappropriate job placements or missed opportunities for skill development.

",,
2,5,"Over the past decades, standardized tests targeting  creative processes (e.g., idea generation and refinement)  have been developed and successfully deployed in a wide  range of contexts (Keefe & Magaro, 1980 ; Kühn et al.,  2014 ; Lau & Cheung, 2010 ; Maheshwari & Werd, 2019 ;  Matud, Rodríguez, & Grande, 2007 ; Torrance, 1976 ). The  simple and domain-agnostic design of the tasks in these  tests allows for large-scale, albeit resource intensive,  deployment. However, these same design choices are  criticized for not being motivational and/or for not map - ping well onto real-world creativity (i.e., lacking ecological  validity1; discussed later). ",Rafner et al. - 2022 - Digital Games for Creativity Assessment Strengths,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction: Use the following pieces of context to answer the users question.

Text: Over the past decades, standardized tests targeting  creative processes (e.g., idea generation and refinement)  have been developed and successfully deployed in a wide  range of contexts (Keefe & Magaro, 1980 ; Kühn et al.,  2014 ; Lau & Cheung, 2010 ; Maheshwari & Werd, 2019 ;  Matud, Rodríguez, & Grande, 2007 ; Torrance, 1976 ). The  simple and domain-agnostic design of the tasks in these  tests allows for large-scale, albeit resource intensive,  deployment. However, these same design choices are  criticized for not being motivational and/or for not map - ping well onto real-world creativity (i.e., lacking ecological  validity1; discussed later). 
### Input: What are some criticisms of the design choices in standardized tests targeting creative processes?
### Response: The design choices in standardized tests targeting creative processes have been criticized for not being motivational and for not mapping well onto real-world creativity, meaning they lack ecological validity.

",,
2,6,"A parallel line of research has  focused on the assessment of creative products (Kaufman  & Sternberg, 2019 ). In scenarios exhibiting sufficient rele- vance and complexity (e.g., music, design, consumer  CONTACT Jacob Sherson   sherson@mgmt.au.dk   Center for Hybrid Intelligence, Management, Aarhus University, Aarhus, DenmarkCREATIVITY RESEARCH JOURNAL                       2022, VOL. 34, NO. 1, 28–54  https://doi.org/10.1080/10400419.2021.1971447 © 2021 Taylor & Francis Group, LLC",Rafner et al. - 2022 - Digital Games for Creativity Assessment Strengths,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction: Use the following pieces of context to answer the users question.

Text: A parallel line of research has  focused on the assessment of creative products (Kaufman  & Sternberg, 2019 ). In scenarios exhibiting sufficient rele- vance and complexity (e.g., music, design, consumer  CONTACT Jacob Sherson   sherson@mgmt.au.dk   Center for Hybrid Intelligence, Management, Aarhus University, Aarhus, DenmarkCREATIVITY RESEARCH JOURNAL                       2022, VOL. 34, NO. 1, 28–54  https://doi.org/10.1080/10400419.2021.1971447 © 2021 Taylor & Francis Group, LLC
### Input: What is the focus of the parallel line of research mentioned in the text by Kaufman and Sternberg in 2019?
### Response: The focus of the parallel line of research mentioned in the text by Kaufman and Sternberg in 2019 is on the assessment of creative products.

",,
3,1,"This paper investigates how digital games can be used to assess creativity at scale, while achieving psychometric validity and reliability. This investigation is done by means of a systematic literature review, outlining several key design, implementation, and analysis decisions relevant for creating and evaluating digital games which assess creativity. The paper’s primary vision for creativity assessment is to explore ways of meeting the challenge of scaling up to large and diverse sample sizes while capturing data with higher ecological validity and gleaning deeper insights into construct validity of creativity. This paper aims to provide: ●An in depth review of the state of the art of creativity assessment games ●Considerations that can be used to design, implement, and evaluate digital creativity games with respect to validity, reliability, and scalability ●A catalyst for interdisciplinary dialogs The intended audience for this article is researchers who focus on creativity assessments, as well as stakeholders and practitioners seeking to deploy creativity assessments in their concrete field, such as education, or corporate environments.",Rafner et al. - 2022 - Digital Games for Creativity Assessment Strengths,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction: Use the following pieces of context to answer the users question.

Text: This paper investigates how digital games can be used to assess creativity at scale, while achieving psychometric validity and reliability. This investigation is done by means of a systematic literature review, outlining several key design, implementation, and analysis decisions relevant for creating and evaluating digital games which assess creativity. The paper’s primary vision for creativity assessment is to explore ways of meeting the challenge of scaling up to large and diverse sample sizes while capturing data with higher ecological validity and gleaning deeper insights into construct validity of creativity. This paper aims to provide: ●An in depth review of the state of the art of creativity assessment games ●Considerations that can be used to design, implement, and evaluate digital creativity games with respect to validity, reliability, and scalability ●A catalyst for interdisciplinary dialogs The intended audience for this article is researchers who focus on creativity assessments, as well as stakeholders and practitioners seeking to deploy creativity assessments in their concrete field, such as education, or corporate environments.
### Input: What is the primary vision for creativity assessment in digital games as outlined in this paper?
### Response: The primary vision for creativity assessment in digital games as outlined in this paper is to explore ways of meeting the challenge of scaling up to large and diverse sample sizes while capturing data with higher ecological validity and gleaning deeper insights into construct validity of creativity.

",,
3,2,"Creativity assessment and its challenges: past and present Creativity is generally defined as the ability to produce solutions, ideas, or products that are both novel and effective (Runco & Jaeger, 2012). Going one layer deeper, creativity is “the interaction among aptitude, process, and environment by which an individual or group produces a perceptible product that is both novel and useful as defined within a social context” (Plucker, Beghetto, & Dow, 2004, p. 91, original emphasis). In the following sections, standard creativity assessment methods will be introduced, and advantages and disadvantages of those will be discussed.",Rafner et al. - 2022 - Digital Games for Creativity Assessment Strengths,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction: Use the following pieces of context to answer the users question.

Text: Creativity assessment and its challenges: past and present Creativity is generally defined as the ability to produce solutions, ideas, or products that are both novel and effective (Runco & Jaeger, 2012). Going one layer deeper, creativity is “the interaction among aptitude, process, and environment by which an individual or group produces a perceptible product that is both novel and useful as defined within a social context” (Plucker, Beghetto, & Dow, 2004, p. 91, original emphasis). In the following sections, standard creativity assessment methods will be introduced, and advantages and disadvantages of those will be discussed.
### Input: What are the standard methods of creativity assessment and what are their advantages and disadvantages?
### Response: The text does not provide information on the standard methods of creativity assessment and their advantages and disadvantages.

",,
3,3,"Creative process: convergent and divergent thinking The majority of psychometric creativity assessment instruments focus on two essential processes of creative thinking, conceptualized by Guilford (1956): divergent and convergent thinking. Divergent thinking (DT) is defined as the ability to come up with many different solutions to a prompt, whereas convergent thinking (CT) is defined as the ability to find the single best (correct) solution to a defined question (Cropley, 2006; Guilford, 1956). Although Guilford drew attention to and acknowledged the importance of both processes, creativity quickly became equated with DT, leading to the majority of assessment instruments focusing on measuring DT (Cropley, 2006). These instruments often operationalize DT following Guilford’s (Guilford, 1973) proposal, in terms of ideational fluency (the number of outputs: ideas, products, solutions), flexibility (how different the proposed outputs are from each other), originality (how unique an output is), and elaboration (the level of details in an output).",Rafner et al. - 2022 - Digital Games for Creativity Assessment Strengths,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction: Use the following pieces of context to answer the users question.

Text: Creative process: convergent and divergent thinking The majority of psychometric creativity assessment instruments focus on two essential processes of creative thinking, conceptualized by Guilford (1956): divergent and convergent thinking. Divergent thinking (DT) is defined as the ability to come up with many different solutions to a prompt, whereas convergent thinking (CT) is defined as the ability to find the single best (correct) solution to a defined question (Cropley, 2006; Guilford, 1956). Although Guilford drew attention to and acknowledged the importance of both processes, creativity quickly became equated with DT, leading to the majority of assessment instruments focusing on measuring DT (Cropley, 2006). These instruments often operationalize DT following Guilford’s (Guilford, 1973) proposal, in terms of ideational fluency (the number of outputs: ideas, products, solutions), flexibility (how different the proposed outputs are from each other), originality (how unique an output is), and elaboration (the level of details in an output).
### Input: What are the differences between divergent and convergent thinking in the creative process, and how are these concepts typically measured in psychometric creativity assessment instruments?
### Response: Divergent thinking (DT) and convergent thinking (CT) are two essential processes of creative thinking. DT is defined as the ability to come up with many different solutions to a prompt, while CT is the ability to find the single best (correct) solution to a defined question. In psychometric creativity assessment instruments, these concepts are typically measured in different ways. DT is often operationalized in terms of ideational fluency (the number of outputs: ideas, products, solutions), flexibility (how different the proposed outputs are from each other), originality (how unique an output is), and elaboration (the level of details in an output). CT, on the other hand, is typically measured by the ability to find the single best solution to a defined question.

",,
3,4,"Standard tests for the creative process This operationalization of creativity has led to numerous standardized tests, most of which focus on assessing the creative process (Kaufman & Sternberg, 2019, p. 45). What the authors define as ‘creative process’ is equivalent to Guilford’s definition of creative potential (Guilford, 1950, 1968; Runco & Acar, 2012). Guilford’s Alternate Uses Test (Guilford, 1968) asks participants to come up with alternative/unusual uses of everyday objects, such as a brick, or a pencil. A widely used battery (i.e., collection of tests) is the Torrance Test of Creative Thinking (Torrance, 1966), which includes a variety of verbal (e.g., Unusual Uses, Impossibilities, Consequences, Situations) and non-verbal tasks (Incomplete Figures, Creative Design, Circles and Squares). A similar, popular battery is the Wallach-Kogan Creativity Test (Wallach & Kogan, 1965), which includes three verbal, and two visual tasks. Evidence of reliability of these and similar tests is fairly convincing (Kaufman & Sternberg, 2019; Torrance, 1981; Williams, 1980), however the predictive and discriminant (not CREATIVITY RESEARCH JOURNAL 29.",Rafner et al. - 2022 - Digital Games for Creativity Assessment Strengths,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction: Use the following pieces of context to answer the users question.

Text: Standard tests for the creative process This operationalization of creativity has led to numerous standardized tests, most of which focus on assessing the creative process (Kaufman & Sternberg, 2019, p. 45). What the authors define as ‘creative process’ is equivalent to Guilford’s definition of creative potential (Guilford, 1950, 1968; Runco & Acar, 2012). Guilford’s Alternate Uses Test (Guilford, 1968) asks participants to come up with alternative/unusual uses of everyday objects, such as a brick, or a pencil. A widely used battery (i.e., collection of tests) is the Torrance Test of Creative Thinking (Torrance, 1966), which includes a variety of verbal (e.g., Unusual Uses, Impossibilities, Consequences, Situations) and non-verbal tasks (Incomplete Figures, Creative Design, Circles and Squares). A similar, popular battery is the Wallach-Kogan Creativity Test (Wallach & Kogan, 1965), which includes three verbal, and two visual tasks. Evidence of reliability of these and similar tests is fairly convincing (Kaufman & Sternberg, 2019; Torrance, 1981; Williams, 1980), however the predictive and discriminant (not CREATIVITY RESEARCH JOURNAL 29.
### Input: What is the definition of 'creative process' as used in standardized tests for creativity, and what are some examples of these tests?
### Response: The 'creative process' in standardized tests for creativity is defined as the ability to come up with alternative or unusual uses of everyday objects, which is equivalent to Guilford’s definition of creative potential. Some examples of these tests include Guilford’s Alternate Uses Test, the Torrance Test of Creative Thinking, and the Wallach-Kogan Creativity Test. The Guilford’s Alternate Uses Test asks participants to think of different uses for common items like a brick or a pencil. The Torrance Test of Creative Thinking includes a variety of verbal and non-verbal tasks, such as Unusual Uses, Impossibilities, Consequences, Situations, Incomplete Figures, Creative Design, Circles and Squares. The Wallach-Kogan Creativity Test includes three verbal and two visual tasks.

",,
4,1,"Correlating with irrelevant measures) validity of DT tests has mixed support (Bachelor, 1989 ; Clapham, 1996 ; Cooper, 1991 ; Kaufman & Sternberg, 2019 ; Thompson & Andersson, 1983 ). Some scholars have also noted that scores on divergent production tests are susceptible to training and intervention effects (Clapham, 1996 ; Kaufman & Sternberg, 2010 ; Torrance, 1988 ). CT is commonly measured with the Remote Associations Test (Mednick, 1962 ), in which a participant is shown three cue words that are linked by a fourth word, which is the correct answer that the participant has to find. While widely used, the Remote Association Test has been criticized for relying heavily on the participant’s language skills (Cortes, Weinberger, Daker, & Green, 2019 ).",Rafner et al. - 2022 - Digital Games for Creativity Assessment Strengths,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction: Use the following pieces of context to answer the users question.

Text: Correlating with irrelevant measures) validity of DT tests has mixed support (Bachelor, 1989 ; Clapham, 1996 ; Cooper, 1991 ; Kaufman & Sternberg, 2019 ; Thompson & Andersson, 1983 ). Some scholars have also noted that scores on divergent production tests are susceptible to training and intervention effects (Clapham, 1996 ; Kaufman & Sternberg, 2010 ; Torrance, 1988 ). CT is commonly measured with the Remote Associations Test (Mednick, 1962 ), in which a participant is shown three cue words that are linked by a fourth word, which is the correct answer that the participant has to find. While widely used, the Remote Association Test has been criticized for relying heavily on the participant’s language skills (Cortes, Weinberger, Daker, & Green, 2019 ).
### Input: What are some criticisms of the Remote Associations Test used to measure Convergent Thinking?
### Response: The Remote Associations Test used to measure Convergent Thinking has been criticized for relying heavily on the participant’s language skills.

",,
4,2,"Limitations of these standard tests The aforementioned tests are so well studied that they are often used as a point of reference for convergent validity3 of any newly developed creativity instrument. However, they are criticized for the following reasons: ●They are often administered in strict testing conditions and in artificial contexts (e.g., in laboratories) to ensure internal validity.4 These are however far removed from natural situations, where one would express their creativity (Cotter & Silvia, 2019 ) and can induce unintended physiological effects such as test anxiety (Schram & Ule, 2019 ) and Hawthorne effect (McCambridge, Witton, & Elbourne, 2014 ). ●They are not particularly meaningful to the participants (Valladares-Rodríguez, Pérez-Rodríguez, Anido-Rifón, & Fernández-Iglesias, 2016 ). ●They rely on fairly simple interactions and only analyze the final product, which does not afford the ability to capture detailed, fine grained steps in an individual’s trajectory toward an output (Schulte-Mecklenbeck, Kühberger, & Johnson, 2019 ). ●They rely on resource-intensive administration and human raters (Cseh & Jeffries, 2019 ). When there are few raters, individual taste, preferences and idiosyncrasies will have an impact. Employing multiple raters and measuring interrater reliability (the extent to which judges agree on the scoring of the answers) is effective but resource-intensive. If raters spend long hours assessing items, they are susceptible to fatigue, compromising the reliability of their judgments (Cseh & Jeffries, 2019 ).",Rafner et al. - 2022 - Digital Games for Creativity Assessment Strengths,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction: Use the following pieces of context to answer the users question.

Text: Limitations of these standard tests The aforementioned tests are so well studied that they are often used as a point of reference for convergent validity3 of any newly developed creativity instrument. However, they are criticized for the following reasons: ●They are often administered in strict testing conditions and in artificial contexts (e.g., in laboratories) to ensure internal validity.4 These are however far removed from natural situations, where one would express their creativity (Cotter & Silvia, 2019 ) and can induce unintended physiological effects such as test anxiety (Schram & Ule, 2019 ) and Hawthorne effect (McCambridge, Witton, & Elbourne, 2014 ). ●They are not particularly meaningful to the participants (Valladares-Rodríguez, Pérez-Rodríguez, Anido-Rifón, & Fernández-Iglesias, 2016 ). ●They rely on fairly simple interactions and only analyze the final product, which does not afford the ability to capture detailed, fine grained steps in an individual’s trajectory toward an output (Schulte-Mecklenbeck, Kühberger, & Johnson, 2019 ). ●They rely on resource-intensive administration and human raters (Cseh & Jeffries, 2019 ). When there are few raters, individual taste, preferences and idiosyncrasies will have an impact. Employing multiple raters and measuring interrater reliability (the extent to which judges agree on the scoring of the answers) is effective but resource-intensive. If raters spend long hours assessing items, they are susceptible to fatigue, compromising the reliability of their judgments (Cseh & Jeffries, 2019 ).
### Input: What are some of the criticisms of standard creativity tests and how do they potentially impact the validity and reliability of these tests?
### Response: Standard creativity tests are criticized for several reasons. Firstly, they are often administered in strict testing conditions and artificial contexts, such as laboratories, which are far removed from natural situations where creativity is typically expressed. This can induce unintended physiological effects like test anxiety and the Hawthorne effect, potentially impacting the validity of the tests. Secondly, these tests are not particularly meaningful to the participants, which could affect their engagement and performance. Thirdly, they rely on simple interactions and only analyze the final product, which does not allow for capturing detailed steps in an individual’s creative process, potentially limiting the validity of the tests. Lastly, these tests rely on resource-intensive administration and human raters. The individual tastes, preferences, and idiosyncrasies of a small number of raters can impact the results. While employing multiple raters and measuring interrater reliability can be effective, it is resource-intensive and raters are susceptible to fatigue, which can compromise the reliability of their judgments.

",,
4,3,"Additionally, Runco, Abdulla, Paek, Al-Jasim, and Alsuwaidi (2016 ) compared results from seven different DT batteries and observed that each test seems to measure a slightly different process, and the results are often not highly intercorrelated (i.e., low convergent correlation with each other). This led them to conclude that “research using only one divergent thinking test will not provide generalizable results” (Runco et al., 2016 , p. 4). If the purpose of an evaluation is to assess general DT or CT, researchers call for multiple domains and tasks to be included (Acar & Runco, 2019 ; Cortes et al., 2019 ; Reiter-Palmon, Forthmann, & Barbot, 2019 ). However, a significant downside to employing multiple test-like tasks is the increased risk of test fatigue (Ackerman & Kanfer, 2009 ).",Rafner et al. - 2022 - Digital Games for Creativity Assessment Strengths,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction: Use the following pieces of context to answer the users question.

Text: Additionally, Runco, Abdulla, Paek, Al-Jasim, and Alsuwaidi (2016 ) compared results from seven different DT batteries and observed that each test seems to measure a slightly different process, and the results are often not highly intercorrelated (i.e., low convergent correlation with each other). This led them to conclude that “research using only one divergent thinking test will not provide generalizable results” (Runco et al., 2016 , p. 4). If the purpose of an evaluation is to assess general DT or CT, researchers call for multiple domains and tasks to be included (Acar & Runco, 2019 ; Cortes et al., 2019 ; Reiter-Palmon, Forthmann, & Barbot, 2019 ). However, a significant downside to employing multiple test-like tasks is the increased risk of test fatigue (Ackerman & Kanfer, 2009 ).
### Input: What is the downside of using multiple test-like tasks in the evaluation of general Divergent Thinking (DT) or Convergent Thinking (CT)?
### Response: The downside of using multiple test-like tasks in the evaluation of general Divergent Thinking (DT) or Convergent Thinking (CT) is the increased risk of test fatigue.

",,
4,4,"Solving part of the problem: Digital standardized tests Digital, standardized creativity assessments are increasing in popularity (e.g., Bowden & Jung-Beeman, 2003 ; Dow & Mayer, 2004 ; Guo, 2019 ; Olteţeanu & Zunjani, 2020 ; Palaniappan, 2012 ; Pásztor, Molnár, & Csapó, 2015 ) as they may lower the barrier to algorithmic scoring of responses, thus reducing human subjectivity (Beketayev & Runco, 2016 ; Lau & Cheung, 2010 ), and make testing more accessible to administer (Kwon, Goetz, & Zellner, 1998 ). In principle, the digital nature of tasks in digital tests allows for a more fine-grained data analysis, in which not only the final product, but also the process (e.g., time-ordering of inputs) is taken into account for the evaluation (Evans, Holmes, & Trueblood, 2019 ). However, this potential is far from being fully exploited in creativity assessment.",Rafner et al. - 2022 - Digital Games for Creativity Assessment Strengths,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction: Use the following pieces of context to answer the users question.

Text: Solving part of the problem: Digital standardized tests Digital, standardized creativity assessments are increasing in popularity (e.g., Bowden & Jung-Beeman, 2003 ; Dow & Mayer, 2004 ; Guo, 2019 ; Olteţeanu & Zunjani, 2020 ; Palaniappan, 2012 ; Pásztor, Molnár, & Csapó, 2015 ) as they may lower the barrier to algorithmic scoring of responses, thus reducing human subjectivity (Beketayev & Runco, 2016 ; Lau & Cheung, 2010 ), and make testing more accessible to administer (Kwon, Goetz, & Zellner, 1998 ). In principle, the digital nature of tasks in digital tests allows for a more fine-grained data analysis, in which not only the final product, but also the process (e.g., time-ordering of inputs) is taken into account for the evaluation (Evans, Holmes, & Trueblood, 2019 ). However, this potential is far from being fully exploited in creativity assessment.
### Input: What are the potential benefits of using digital, standardized creativity assessments and how can the digital nature of these tests contribute to a more detailed data analysis?
### Response: The potential benefits of using digital, standardized creativity assessments include reducing human subjectivity in scoring responses, making testing more accessible to administer, and allowing for a more fine-grained data analysis. The digital nature of these tests can contribute to a more detailed data analysis by not only evaluating the final product, but also taking into account the process, such as the time-ordering of inputs. However, the text suggests that this potential is not yet fully exploited in creativity assessment.

",,
4,5,"An example of a promising algorithmic scoring method for assessing DT tasks employs a specific variant of semantic networks, namely an association network . Association networks capture the relationships between concepts and words used in natural language (Beketayev & Runco, 2016 ). Acar and Runco (2014 ) use a semantic-based algorithm (SBA) to calculate how distant (in conceptual space) ideas or answers of an individual are from each other. They found that SBA flexibility is strongly correlated (r = 0.74) with traditional scoring of flexibility scores from the Many Uses Test (similar to the Alternative Uses Test; Guilford, 1968 ), suggesting strong convergent validity. While the approach holds potential, Forthmann, Oyebade, Ojo, Günther, and Holling (2019 ) highlight that this system is susceptible to certain biases, which can taint the calculations of the system. It must also be noted that automated assessments are far from capturing the complexity and nuance of human judgment needed for some assessments such as scoring originality or flexibility of figural elements of the Torrance 30 J. RAFNER ET AL.",Rafner et al. - 2022 - Digital Games for Creativity Assessment Strengths,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction: Use the following pieces of context to answer the users question.

Text: An example of a promising algorithmic scoring method for assessing DT tasks employs a specific variant of semantic networks, namely an association network . Association networks capture the relationships between concepts and words used in natural language (Beketayev & Runco, 2016 ). Acar and Runco (2014 ) use a semantic-based algorithm (SBA) to calculate how distant (in conceptual space) ideas or answers of an individual are from each other. They found that SBA flexibility is strongly correlated (r = 0.74) with traditional scoring of flexibility scores from the Many Uses Test (similar to the Alternative Uses Test; Guilford, 1968 ), suggesting strong convergent validity. While the approach holds potential, Forthmann, Oyebade, Ojo, Günther, and Holling (2019 ) highlight that this system is susceptible to certain biases, which can taint the calculations of the system. It must also be noted that automated assessments are far from capturing the complexity and nuance of human judgment needed for some assessments such as scoring originality or flexibility of figural elements of the Torrance 30 J. RAFNER ET AL.
### Input: What are some potential biases and limitations of using a semantic-based algorithm for assessing divergent thinking tasks, as highlighted by Forthmann, Oyebade, Ojo, Günther, and Holling (2019)?
### Response: The text does not provide specific details on the potential biases and limitations of using a semantic-based algorithm for assessing divergent thinking tasks as highlighted by Forthmann, Oyebade, Ojo, Günther, and Holling (2019).

",,
